conforming_loan_limit,preapproval,loan_term,aus_1,applicant_age,applicant_credit_score_type,combined_loan_to_value_ratio,property_value,income,debt_to_income_ratio,loan_amount,applicant_ethnicity_1,applicant_race_1,applicant_sex,action_taken
1,0,39,1,0,2,95.0,145000.0,97.0,8,135000.0,1,2,0,0
1,0,39,0,0,0,110.29,425000.0,168.0,1,475000.0,1,0,0,0
1,0,39,0,0,1,75.0,335000.0,69.0,17,255000.0,0,4,0,0
1,0,39,0,0,1,101.56,125000.0,38.0,13,125000.0,0,4,0,0
1,0,39,0,0,2,78.47,725000.0,85.0,19,565000.0,1,1,0,0
1,0,39,0,0,0,80.0,305000.0,80.0,16,235000.0,0,5,1,0
1,0,39,0,0,1,93.32,435000.0,70.0,17,415000.0,2,5,0,0
1,0,39,0,0,2,100.0,175000.0,37.0,16,175000.0,1,4,1,0
1,0,39,0,0,0,96.5,155000.0,35.0,19,155000.0,0,4,1,0
1,0,39,0,0,1,95.0,355000.0,73.0,19,345000.0,2,5,1,0
1,0,39,1,0,1,90.0,435000.0,73.0,19,395000.0,2,5,1,0
1,0,39,0,0,0,104.11,75000.0,53.0,16,75000.0,1,4,0,0
1,0,39,1,0,1,131.01,85000.0,65.0,2,115000.0,1,4,1,0
1,0,39,0,0,1,95.0,105000.0,47.0,5,95000.0,1,4,0,0
1,0,39,1,0,2,94.16,295000.0,93.0,12,275000.0,1,2,0,0
1,0,39,1,0,2,100.0,125000.0,61.0,2,125000.0,1,1,1,0
1,0,39,3,0,6,100.64,235000.0,69.0,1,235000.0,1,4,0,0
2,0,39,5,0,1,90.0,945000.0,168.0,17,855000.0,1,4,1,0
1,0,39,0,0,2,100.0,295000.0,62.0,17,295000.0,1,4,1,0
1,0,39,1,0,2,85.0,335000.0,68.0,17,275000.0,1,2,0,0
1,0,39,0,0,0,99.18,255000.0,46.0,19,255000.0,1,2,1,0
1,0,39,0,0,0,80.0,515000.0,116.0,17,405000.0,0,4,0,0
1,0,39,1,0,2,70.53,215000.0,18.0,19,145000.0,1,4,0,0
1,0,39,0,0,2,113.44,175000.0,87.0,2,195000.0,1,1,0,0
1,0,39,1,0,2,58.93,565000.0,87.0,17,335000.0,1,1,0,0
1,0,39,3,0,6,98.12,175000.0,63.0,1,175000.0,1,4,0,0
1,0,39,0,0,2,96.5,275000.0,50.0,17,275000.0,1,4,0,0
1,0,39,0,0,1,95.0,295000.0,63.0,19,285000.0,2,5,0,0
1,0,39,5,0,0,80.0,595000.0,78.0,12,475000.0,1,4,1,0
1,0,39,0,0,2,105.63,335000.0,82.0,9,355000.0,0,4,0,0
1,0,39,1,0,2,103.4,225000.0,56.0,14,235000.0,2,5,1,0
1,0,39,1,0,2,83.27,265000.0,118.0,1,225000.0,1,1,0,0
1,0,39,0,0,2,98.33,815000.0,154.0,5,665000.0,1,1,0,0
1,0,39,0,0,0,96.5,175000.0,41.0,19,155000.0,1,2,1,0
1,0,39,0,0,2,49.3,715000.0,111.0,1,355000.0,1,1,0,0
1,0,39,0,0,1,96.5,175000.0,38.0,19,155000.0,1,2,1,0
1,0,39,0,0,2,80.0,555000.0,87.0,3,415000.0,1,1,1,0
1,0,39,1,0,0,90.0,145000.0,0.0,18,135000.0,1,4,0,0
1,0,39,0,0,1,96.5,265000.0,79.0,17,245000.0,1,4,1,0
1,0,39,0,0,2,100.16,345000.0,78.0,17,355000.0,1,3,0,0
1,0,39,0,0,2,97.0,255000.0,36.0,17,245000.0,1,4,0,0
1,0,39,0,0,1,96.5,105000.0,41.0,2,95000.0,1,2,0,0
2,0,39,0,0,0,80.0,775000.0,0.0,18,615000.0,2,5,0,0
1,0,39,0,0,0,97.0,315000.0,91.0,8,305000.0,2,5,0,0
1,0,39,0,0,2,97.0,155000.0,40.0,15,155000.0,1,4,0,0
1,0,39,0,0,2,58.64,225000.0,0.0,18,125000.0,1,4,0,0
1,0,39,0,0,6,100.0,395000.0,98.0,2,405000.0,0,0,0,0
1,0,39,1,0,1,80.0,225000.0,41.0,4,185000.0,1,3,1,0
1,0,39,0,0,2,94.82,165000.0,18.0,19,145000.0,1,4,0,0
1,0,39,0,0,2,84.98,225000.0,43.0,19,195000.0,0,4,0,0
1,0,39,0,0,2,35.07,775000.0,78.0,17,275000.0,2,5,1,0
1,0,39,0,0,1,85.0,155000.0,46.0,17,125000.0,1,4,1,0
1,0,39,1,0,1,95.0,355000.0,85.0,14,335000.0,0,4,0,0
1,0,39,1,0,1,69.23,265000.0,41.0,17,185000.0,1,3,1,0
1,0,39,0,0,2,80.0,455000.0,53.0,17,365000.0,0,4,0,0
1,0,39,1,0,1,69.33,475000.0,41.0,19,335000.0,1,2,0,0
1,0,39,1,0,2,95.08,395000.0,85.0,9,375000.0,0,4,1,0
1,0,39,0,0,1,96.5,245000.0,0.0,18,235000.0,0,4,1,0
1,0,39,0,0,6,95.0,585000.0,192.0,5,555000.0,1,4,1,0
1,0,39,0,0,1,100.98,125000.0,38.0,13,125000.0,0,4,0,0
1,0,39,1,0,1,80.0,285000.0,73.0,10,225000.0,1,1,1,0
1,0,39,0,0,6,110.86,215000.0,65.0,2,235000.0,0,4,1,0
2,0,39,5,0,0,90.0,945000.0,134.0,19,855000.0,1,4,1,0
1,0,39,0,0,6,80.0,525000.0,118.0,1,415000.0,1,4,1,0
1,0,39,0,0,2,84.57,285000.0,60.0,17,235000.0,1,4,0,0
1,0,39,0,0,2,93.5,205000.0,102.0,1,195000.0,1,4,0,0
1,0,39,1,0,2,59.09,365000.0,23.0,19,215000.0,1,1,1,0
1,0,39,0,0,0,95.0,425000.0,45.0,19,395000.0,0,4,1,0
1,0,39,0,0,0,96.5,645000.0,157.0,17,625000.0,2,5,0,0
1,0,39,5,0,1,70.0,955000.0,0.0,18,665000.0,1,1,1,0
1,0,39,0,0,1,97.52,175000.0,33.0,16,165000.0,1,4,0,0
